start,open,high,low,close,volume
2026-04-21 00:38:00+00:00,75936.29,75953.8,75925.0,75934.0,2.93820004
2026-04-21 00:39:00+00:00,75934.0,75989.33,75925.16,75928.87,8.82367581
2026-04-21 00:40:00+00:00,75926.16,75973.38,75926.16,75961.22,1.25103736
2026-04-21 00:41:00+00:00,75963.88,75973.87,75945.0,75957.33,1.50088148
2026-04-21 00:42:00+00:00,75951.12,75955.01,75939.98,75943.71,1.80932314
2026-04-21 00:43:00+00:00,75943.7,75951.05,75917.73,75950.74,0.68641787
2026-04-21 00:44:00+00:00,75950.74,75950.74,75906.6,75906.6,0.90638724
2026-04-21 00:45:00+00:00,75906.61,75947.51,75906.61,75943.99,0.7403022
2026-04-21 00:46:00+00:00,75942.01,75980.01,75942.01,75955.4,1.76102173
2026-04-21 00:47:00+00:00,75955.41,76098.18,75928.86,76040.15,13.4957721
